E_final,E_max,E_min,E_mean,E_std,L_final,L_max,L_min,L_mean,L_std,P_final,P_max,P_min,P_mean,P_std,D_final,D_max,D_min,D_mean,D_std,H_final,H_max,H_min,H_mean,H_std,F_final,F_max,F_min,F_mean,F_std,R_final,R_max,R_min,R_mean,R_std,total_pop_final,total_pop_max,stability,mu
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.496315635083,0.2841212420487991,2140.663187442573,2243.7811250759764,760.0945669416257,11790.919210823673,1.704783667017111,4366.4388497422515,4449.46461389371,1.5854005980852395,288.0386338213141,0.0014683946661161803,99.61545498153262,113.75806414617813,4360.084429996248,18376.335904200114,43.174497721383666,7083.931135976699,6755.2946012849025,14202.051728355638,14588.984812270366,1200.0,6779.55052516291,4325.328684113524,24747.8711711659,30318.55959820529,2754.8086221468093,13910.008377458418,7793.655722147488,19582.421907432632,47670.48471167794,0.71403279773451,0.01
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.490831110204,0.2841212420487991,2139.649796535378,2243.0495742986486,760.0945445501401,11790.268993291531,1.70478366518442,4364.377715920624,4448.012898551063,3.1706874272994447,575.9633547247055,0.002936789329038847,199.03491879486322,227.49738662378863,4313.104596375614,18175.064591291062,42.69476062518668,7006.083094685003,6681.110940670733,14056.508093640206,14439.636905198628,1200.0,6710.5690225749095,4280.478922368442,23123.84128976908,28722.246512024176,2763.234875378103,13161.868337747144,7462.1423655165745,19391.483703534297,47665.08474711894,0.7163137303813886,0.019999999999999997
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.483713552954,0.2841212420487991,2138.5980682930035,2242.2745654989,760.0945194896988,11789.553647191467,1.7047836631378757,4362.238607885959,4446.475229228049,4.75584927409636,863.7653539294532,0.004405183988209036,298.35759439318934,341.1650753885221,4265.822510715292,17971.96987678618,42.211337132458446,6927.790611913486,6606.448561742834,13910.738942955048,14290.052620356259,1200.0,6641.578917651688,4235.543593966764,21508.939272600444,27135.798017026384,2771.597635232109,12416.513986015887,7145.112584534576,19200.01760397517,47657.11809798134,0.7186002244931254,0.03
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.474320382363,0.2841212420487991,2137.503763559894,2241.450807048469,760.0944911773423,11788.770284696413,1.7047836608375542,4360.01290363169,4444.8411173207005,6.340872322268289,1151.4350558915996,0.005873578642928637,397.57671190708544,454.74802857474697,4218.183151164891,17766.618911522597,41.72356638321379,6848.942511536914,6531.197551628368,13764.692215245717,14140.171758625243,1200.0,6572.58194844009,4190.498270205389,19905.341787244037,25561.38087767424,2779.880128139462,11674.525450450597,6844.4350639698105,19007.916511451254,47645.878792115494,0.7208903727278548,0.039999999999999994
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461627024278,0.2841212420487991,2136.360840740013,2240.570858719181,760.0944587430558,11787.907864453486,1.7047836582305795,4357.688315173999,4443.0958361530365,7.925738438155092,1438.9620471898281,0.007341973292303992,496.68413932270295,568.2365127280344,4170.119369677839,17558.433868232303,41.230608707950395,6769.37960660553,6455.204875580458,13618.29675483878,13989.91037663022,1200.0,6503.580653868282,4145.307329539547,18316.103215366114,24002.02569904466,2788.055085506633,10936.699816504228,6562.182379213717,18815.04210323887,47630.39386790284,0.723181427811787,0.049999999999999996
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.44388327463,0.2841212420487991,2135.1600192867045,2239.623398024334,760.0944207883379,11786.95336437789,1.7047836552436804,4355.245966839662,4441.217003407148,9.510421645722925,1726.3356844900159,0.008810367935150538,595.6694488978156,681.6191716083375,4121.550244805143,17346.628149687967,40.73137556764236,6688.862826591988,6378.249163630671,13471.4523119829,13839.147859153964,1200.0,6434.578966391186,4099.916165380816,16745.711970219163,22462.240558621175,2796.068904200784,10204.180876669327,6300.618584471896,18621.213180763138,47609.21845662227,0.7254692490307533,0.05999999999999999
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.421219292179,0.2841212420487991,2133.885398401087,2238.5891834344156,760.0943747672708,11785.900318983806,1.7047836517701571,4352.653518044262,4439.166626732309,11.09487957093434,2013.5438170077819,0.01027876256982449,694.5178051072472,794.8802847352421,4072.381920434436,17130.103063625025,40.22441962056691,6607.009056654315,6299.994371536119,13324.011927753752,13687.704114789374,1200.0,6365.5829401329975,4054.2357267842617,15201.17895680327,20948.988845704367,2803.746389558678,9478.71102053399,6062.168349760698,18426.18888406743,47580.09453689708,0.7277472741825713,0.06999999999999999
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.394230285159,0.2841212420487991,2132.5057502405634,2237.430900058981,760.0943153262708,11784.734408140252,1.7047836476456653,4349.8474545893905,4436.871091951729,12.679030043947796,2300.572485814188,0.011747157193908418,793.2045385674569,907.9941178996957,4022.517920036587,16919.989833647724,39.68514080023915,6523.147573509428,6219.900708224207,13175.750821736887,13537.430802069512,1200.0,6296.601970446311,4008.1083684414366,13694.446635687787,19689.5219075378,2809.414221114419,8763.183327554338,5849.366887787188,18229.64786868473,47565.94043090434,0.7300045596128666,0.07999999999999999
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.358738900072,0.2841212420487991,2130.9466514379474,2236.0610417997646,760.0942288369154,11783.436914062066,1.7047836425982685,4346.676407053123,4434.1578456553125,14.262672931190986,2587.406893302414,0.013215551803568471,891.6778280704024,1020.9075734211245,3971.904027988835,16727.523209067014,39.03909948363757,6435.946904050632,6137.051025279692,13026.314101113632,13389.477831274156,1200.0,6227.649629544241,3961.2201383779743,12248.615027992268,19101.40432670198,1916.6013742690388,8063.068574617892,5664.781349010352,18031.18081241161,47567.95418838806,0.7322220366860946,0.08999999999999998
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946512,5880.3116736464635,0.2841212420487991,2128.975852372133,2234.2193444515497,760.0940734258667,11781.998041103523,1.7047836361422721,4342.668003745237,4430.513598565258,15.845171781045176,2874.032821477288,0.014683946392160691,989.7870605756125,1133.472276763471,3920.711702950255,16534.751828582423,38.30886668971523,6342.309543458931,6050.016393583129,12875.21480639954,13241.518790113547,1200.0,6158.732161833647,3912.850634773316,10917.013593691012,18515.24772358768,1014.0633679798977,7390.9995170884085,5510.61827221389,17830.471536097743,47569.1770529008,0.734373415098396,0.09999999999999998
