E_final,E_max,E_min,E_mean,E_std,L_final,L_max,L_min,L_mean,L_std,P_final,P_max,P_min,P_mean,P_std,D_final,D_max,D_min,D_mean,D_std,H_final,H_max,H_min,H_mean,H_std,F_final,F_max,F_min,F_mean,F_std,R_final,R_max,R_min,R_mean,R_std,total_pop_final,total_pop_max,stability,b
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461592675568,0.2841212420487991,2136.3588463428036,2240.568605849867,760.094458671079,11787.90463650587,1.704783658223027,4357.684258773752,4443.091419441878,7.925737794505888,1438.9610813113968,0.007341973292271092,496.6836140731078,568.2360030731614,4170.063455214375,17558.097988119123,41.22921720469696,6769.230505275692,6455.049408827768,13618.251018382789,13989.865093451474,1200,6503.580260234316,4145.275625318854,18299.272687522316,23985.174499674937,2786.4800065253844,10925.02959170187,6559.938423148375,18814.940451603787,47629.99479050206,0.7231795898045622,100.0
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461595158525,0.2841212420487991,2136.3589911691734,2240.5687694852068,760.094458676283,11787.9048720139,1.7047836582235736,4357.684553335798,4443.091740245122,7.9257378410418236,1438.9611517755231,0.007341973292273474,496.68365221887717,568.2360400895338,4170.067486101082,17558.12222206328,41.229318153005366,6769.241309702657,6455.060670806351,13618.254318647694,13989.868361738876,1200,6503.580289448614,4145.277924456297,18300.485016411778,23986.38834865659,2786.5962669642554,10925.872888648511,6560.099713569279,18814.94778280714,47630.02359932851,0.723179723073583,164.28571428571428
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461598834568,0.2841212420487991,2136.3592053980256,2240.569011525163,760.0944586839859,11787.905220064958,1.7047836582243858,4357.684989055405,4443.092214759059,7.925737909936285,1438.96125591421,0.0073419732922770115,496.6837086434227,568.2360948425867,4170.0734570072755,17558.15811374165,41.22946750478405,6769.25729823249,6455.077337486739,13618.259206403794,13989.873201927418,1200,6503.580332484286,4145.281326255731,18302.2811070916,23988.186682560776,2786.7673079568717,10927.121486630089,6560.338767267295,18814.95864154603,47630.06626230524,0.7231799202638511,228.57142857142858
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461603686554,0.2841212420487991,2136.35948781301,2240.569330582443,760.0944586941539,11787.9056783197,1.704783658225454,4357.685563458644,4443.0928402642685,7.925738000865067,1438.9613930293262,0.007341973292281666,496.68378302508705,568.236167019151,4170.081343693966,17558.20551076818,41.22966444420043,6769.278387576766,6455.099323268998,13618.265660782728,13989.879593111205,1200,6503.58038889051,4145.2858124263585,18304.653993971464,23990.562516864084,2786.9920519333555,10928.76966114245,6560.65477102867,18814.972982712752,47630.122593298205,0.7231801803217207,292.8571428571429
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.4616096921345,0.2841212420487991,2136.35983683243,2240.569724853263,760.0944587067387,11787.906243739855,1.7047836582267755,4357.686273328501,4443.093613224889,7.925738113405826,1438.9615622140775,0.007341973292287421,496.6838749456142,568.2362562120289,4170.091114561461,17558.26421453321,41.22990791010152,6769.304469358209,6455.126516754279,13618.27365458677,13989.887508045462,1200,6503.580458081911,4145.291359172285,18307.594593798498,23993.50674364299,2787.268397512273,10930.809955309473,6561.046663537378,18814.99074750941,47630.19234975759,0.7231805018764595,357.14285714285717
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461616824139,0.2841212420487991,2136.360250535394,2240.5701921473265,760.0944587216836,11787.906912641696,1.7047836582283438,4357.687114758078,4443.0945293474015,7.9257382470447775,1438.961762368841,0.0073419732922942555,496.6839838970786,568.2363619267569,4170.102731107876,17558.333983126384,41.23019661334027,6769.335411844987,6455.15878251646,13618.283154689721,13989.896913549488,1200,6503.580539348988,4145.297937577009,18311.091835528947,23997.00826181252,2787.593964148355,10933.233292887538,6561.513149848379,18815.011864307362,47630.275236323,0.7231808832624184,421.42857142857144
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461625050934,0.2841212420487991,2136.3607266927056,2240.5707299232317,760.0944587389214,11787.907680758757,1.7047836582301474,4357.688083213422,4443.095583650013,7.925738401184207,1438.961992219839,0.007341973292302111,496.6841092900683,568.236483589591,4170.116148472396,17558.414534798885,41.23052905725179,6769.3710620008405,6455.195963196674,13618.294122511801,13989.907770984108,1200,6503.580631870371,4145.305514057809,18315.13281428733,24001.054131521116,2787.9661710227656,10936.029112081853,6562.052718556796,18815.03624966534,47630.37090909252,0.7231813225452246,485.7142857142858
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461634336919,0.2841212420487991,2136.361262801525,2240.5713353281803,760.094458758378,11787.908543312285,1.7047836582321803,4357.68917360401,4443.096770540508,7.925738575151199,1438.962250340054,0.007341973292310966,496.684250462865,568.2366205564632,4170.131316047169,17558.505551860893,41.23090356063207,6769.411247786938,6455.237881855395,13618.306514553919,13989.92003678865,1200,6503.580734726578,4145.314050875707,18319.702964843324,24005.629748117273,2788.3822694088285,10939.185516114705,6562.663661160373,18815.063809475654,47630.478980426735,0.7231818175511775,550.0
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.46164464298,0.2841212420487991,2136.3618561227418,2240.5720052407873,760.0944587799693,11787.909495086888,1.7047836582344333,4357.69038035877,4443.098083900136,7.9257387682068865,1438.962535171748,0.007341973292320781,496.68440669134327,568.2367721226365,4170.148178140319,17558.606684902094,41.23131828253292,6769.455780646914,6455.284344512212,13618.320282976589,13989.933663062804,1200,6503.580846914823,4145.323506685876,18324.786249697925,24010.719030766417,2788.838671361142,10942.689436194947,6563.344093075166,18815.09444020612,47630.5990241494,0.7231823658989567,614.2857142857143
102.3380526015718,5004.686760386009,0.1856311586909033,1840.1928004577228,1923.3903759574516,156.26772893946514,5880.461655927035,0.2841212420487991,2136.3625037200063,2240.572736315766,760.0944588036095,11787.910530509482,1.7047836582368954,4357.691697505467,4443.099517171225,7.925738979556285,1438.9628450499322,0.007341973292331506,496.6845771993063,568.236937532786,4170.166674672302,17558.71755722214,41.231771248172635,6769.504458105464,6455.335142802301,13618.33537620722,13989.948598176801,1200,6503.580967364496,4145.333837112865,18330.365356772698,24016.304620697367,2789.332892873968,10946.52680245435,6564.0919757539195,18815.128030203727,47630.73058100341,0.7231829650327545,678.5714285714287
